Title,Active,Type,Product Offerings,Street Address,Hide Address,City,Email,Phone,Website,Image,Description,Created By (User Id),Entry Id,Entry Date,Date Updated,Source Url,Transaction Id,Payment Amount,Payment Date,Payment Status,Post Id,User Agent,User IP
Mushroom Love Co,TRUE,Farm,Veggies,County Road 355,TRUE,Buena Vista,morgan.tristana@gmail.com,(970) 420-8359,http://www.mushroomloveco.com,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2024/01/27d5ad_3164ee3f6de14835b55053edd36518b7_mv2.jpg|:||:||:|,"Mushroom Love Co is a venture started in 2018 by Morgan Reitmeyer. After taking a mushroom cultivation internship with What the Fungi in BC Canada, Morgan began learning to cultivate mushrooms as her family has grown.  Originally growing in a garage, then a greenhouse, and now in dedicated converted shipping containers, Morgan is excited to provide fresh mushrooms to Buena Vista, Salida, Gunnison, Crested Butte and Leadville Colorado.

We hope to be supporting people's health and wellbeing for years to come.",4,7954,2024-01-18 18:14:51,2024-01-18 18:14:51,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",66.36.121.8
Colorado Mountain Lavender,TRUE,Farm,Flowers,5968 State Highway 69,,Cotopaxi,coloradomountainlavender@gmail.com,(719) 371-2828,https://coloradomountainlavender.com,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2024/01/harvest-time-2.jpg|:||:||:|,"A family farm and the first commercial lavender farm in South Central Colorado, discover quality lavender skin, bath, and culinary products made at the farm. Grown naturally at 7000 feet elevation, our lavender makes excellent essential oil that is incorporated into our products. You can trust the source and visit the farm in the summer to see our lavender fields up close. With over 13 different lavender cultivars at the farm and offering plant starts in early summer, learn about lavender and its wonderful benefits. Our shop features all of our products and delicious lavender blackberry ice cream. We offer most of our products year-round on our website too. We are dog-friendly (leash please). The serenity and peace of the farm, with a mix of lavender and fresh mountain air, keep visitors coming back year after year.",,7932,2024-01-17 1:43:34,2024-01-17 1:43:34,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",66.36.121.14
Headwater Farms,TRUE,Farm,"Flowers, Veggies","15284 CR-350 Buena Vista, CO  81211 United States",TRUE,Buena Vista,Maddychance@headwaterfarmco.com,(719) 322-8737,https://www.headwaterfarmco.com/,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2024/01/E705417D-3E5C-4F2A-B307-13CBC95B99671.jpeg|:||:||:|,,,7901,2024-01-13 16:11:36,2024-01-13 16:11:36,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",72.175.17.77
Headwater Farms,TRUE,Farm,"Flowers, Veggies","15284 CR-350 Buena Vista, CO  81211 United States",TRUE,Buena Vista,Maddychance@headwaterfarmco.com,(719) 322-8737,https://www.headwaterfarmco.com/,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2024/01/E705417D-3E5C-4F2A-B307-13CBC95B9967.jpeg|:||:||:|,,,7898,2024-01-13 6:09:53,2024-01-13 6:09:53,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",72.175.17.77
Sweet Pea Farm's Wildflower,TRUE,Farm,"Beef/Meat, Poultry/Eggs, Staples",7465 COUNTY ROAD 146,,Salida,onepony@gmail.com,(719) 539-7452,,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2023/12/20231226_133306.jpg|:||:||:|,"Purveyors of the finest Colorado High Altitude Wildflower Honey. Raising Happy Hens for Eggs and Meat. Offering Organic Layer Feeds at the farm. Coming next fall, Grass fed beef on regerative pastures. Call or Email. Or find us at Salida Farmer's Market.",,7795,2023-12-30 14:03:33,2023-12-30 14:03:33,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",38.109.215.2
Raw milk (cow),TRUE,Farm,Dairy,7600 CR 146,TRUE,Salida,daisyginger13@aol.com,(719) 557-2998,,,"We are a small, local dairy offering grass-fed, raw cow milk herdshares.",,92,2021-06-22 20:51:56,2021-06-22 20:51:56,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",75.163.131.11
Mountain Goat Lodge,TRUE,Farm,Dairy,"9582 US Highway 285, Salida CO 81201",,Salida,mtglodge@gmail.com,(719) 539-7173,https://mountaingoatlodge.com,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2021/06/IMG_2678.jpg|:||:||:|,Goatmilk herd shares available. $50 per month entitles you to 1 gallon fresh raw goats milk per week.,,80,2021-06-03 16:52:57,2021-06-03 16:52:57,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",66.36.121.9
Phytology Flowers Farm,TRUE,Farm,"Flowers, Spices/Garlic, Veggies, Staples",8985 county rd 126,TRUE,Salida,Hannah@phytologyflowers.com,(303) 709-4912,https://www.phytologyflowers.com,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2021/05/23F05F7F-3D24-4CBB-B2F7-D98CFA25DBC3.jpeg|:||:||:|,"We are a sustainable flower farmer and wedding and event florist in Salida. We offer summer flower subscriptions, wedding and event services, holiday arrangements and some herbal products. We hope to offer classes and workshops in the future. We are a family farm and open by appointment.",,57,2021-05-13 14:26:07,2021-05-13 14:26:07,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",66.36.124.36
COLORADO FARMTO TABLE  (CFTT) NOT FOR PROFIT,TRUE,Farm,Veggies,Highway 291,,Salida,lisa@coloradofarmtotable.org,(719) 888-0086,,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2021/04/CFTT-Inside-Greenhouse-with-Seedlings.JPG|:||:||:|,"Get involved growing produce,  relationships, and community! 100%  of  the produce grown at Salida’s  not for profit Colorado Farm to Table (CFTT) is donated to feed people in need.  For 25 years  CFTT has been welcoming people of all backgrounds in volunteer farming experiences to grow top quality, nutritious produce for hungry families.
Volunteer farm hands work with the farmer in 3-hour shifts.   No experience is necessary -  instruction and tools are provided. Join us-  it’s a lot of fun and a great opportunity to meet and network with some awesome people.
CFTT’ sustainably grown produce is  distributed via  partner nonprofit  food pantries, soup kitchens, low-income housing and feeding programs that re-distribute the freshly harvested produce onto the plates of those most in need of nutrition relief.
We  encourage and welcome new  volunteers,  distribution partners, and  innovative collaborative partnerships.  Contact Lisa@coloradofarmtotable.org.",,41,2021-04-22 16:17:03,2021-04-22 16:17:03,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36 Edg/90.0.818.42",38.109.215.2
Moonstone Farm,TRUE,Farm,"Flowers, Poultry/Eggs, Spices/Garlic, Veggies",355 E Rainbow Blvd,TRUE,Salida,jen@moonstoneventures.com,(719) 239-1594,http://www.moonstoneventures.com,https://chaffeeprovides.org/wp-content/uploads/gravity_forms/3-807d06458b68d91ec29987f0f5c0f413/2021/04/IMG_1168.jpg|:||:||:|,"Moonstone Farm is owned and operated by Jen Visitacion in Salida.  Jen runs a small CSA and buyers club and offers on farm events & workshops, a farm-stay in the historic barn turned retreat cottage.",,32,2021-04-13 21:39:17,2021-04-13 21:39:17,https://chaffeeprovides.org/promote-your-services/,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",38.109.215.2
